strategy,corrective,case_id,question,context_recall,context_precision,faithfulness,correctness,answer_relevancy,is_relevant_but_incorrect,latency_ms,estimated_cost_usd,corrective_category,corrective_attempts
dense,False,cluster-001,What is the purpose of namespaces in Kubernetes?,1.0,1.0,1.0,0.9,1.0,False,6752.650190028362,0.00064653,,
dense,False,cluster-002,What is a ServiceAccount and how is it used by pods?,1.0,1.0,1.0,0.9,1.0,False,3631.3680378952995,0.00033790999999999997,,
dense,False,cluster-003,What is a CustomResourceDefinition (CRD) and why is it used?,1.0,1.0,1.0,0.9,1.0,False,2334.613819955848,0.00024122,,
dense,False,cluster-004,What are the main components of the Kubernetes control plane?,1.0,0.8,0.0,0.0,0.0,False,839.3827179679647,0.00013566999999999998,,
dense,False,cluster-005,What is a ResourceQuota and how does it limit resource usage per namespace?,1.0,1.0,1.0,0.9,1.0,False,4810.697710025124,0.00054392,,
dense,False,cluster-006,How does Kubernetes manage the lifecycle of container images and what are the thresholds for garbage collection?,1.0,1.0,1.0,1.0,1.0,False,4691.446091979742,0.0007290599999999999,,
dense,False,cluster-007,What are the valid values for the mode field in KubeletAuthorization?,1.0,1.0,1.0,1.0,1.0,False,5619.096326990984,0.00057435,,
dense,False,cluster-008,What does enabling AppArmor do for Pods running on Linux nodes?,1.0,1.0,1.0,1.0,1.0,False,3789.116934989579,0.00063191,,
dense,False,cluster-009,What is API-initiated eviction in Kubernetes?,1.0,1.0,1.0,1.0,1.0,False,5312.165257986635,0.00076053,,
dense,False,cluster-010,How can I preserve the client source IP in a Kubernetes Service?,1.0,1.0,1.0,1.0,1.0,False,6085.673792986199,0.0007651099999999999,,
dense,False,cluster-011,What happens when the annotation rbac.authorization.kubernetes.io/autoupdate is set to 'false' on RBAC objects?,1.0,1.0,1.0,1.0,1.0,False,7265.406607999466,0.00057577,,
dense,False,cluster-012,How can I manually upgrade CoreDNS in my Kubernetes cluster?,1.0,1.0,1.0,0.9,1.0,False,5961.151103954762,0.0005661899999999999,,
dense,False,cluster-013,What is the purpose of the command 'kubeadm init phase upload-config all'?,1.0,1.0,1.0,1.0,1.0,False,3566.904795006849,0.00032751000000000004,,
dense,False,cluster-014,What command is used to run pre-flight checks for kubeadm join?,1.0,1.0,1.0,1.0,1.0,False,7004.177172086202,0.00029852,,
dense,False,cluster-015,What does the `TracingConfiguration` provide in Kubernetes?,1.0,1.0,1.0,1.0,1.0,False,3946.861840900965,0.00071769,,
dense,False,cluster-016,What is the purpose of the label 'batch.kubernetes.io/job-name'?,1.0,1.0,1.0,1.0,1.0,False,4082.8225529985502,0.00040005,,
dense,False,cluster-017,What command can I use to see the changes that would be applied to static pod manifests during a kubeadm upgrade?,1.0,1.0,1.0,1.0,1.0,False,3847.426704945974,0.00038270000000000003,,
dense,False,networking-001,"What is the difference between ClusterIP, NodePort, and LoadBalancer services?",1.0,1.0,1.0,1.0,1.0,False,4566.9090549927205,0.00063512,,
dense,False,networking-002,How does Kubernetes DNS work for services?,1.0,1.0,1.0,0.85,1.0,False,3378.9337649941444,0.00036856,,
dense,False,networking-003,What is an Ingress and how does it differ from a Service?,0.0,0.6,1.0,0.9,1.0,False,7730.641667963937,0.00055858,,
dense,False,networking-004,How do Network Policies restrict traffic between pods?,0.0,1.0,1.0,0.85,1.0,False,4449.366073007695,0.00050208,,
dense,False,networking-005,What is a headless service in Kubernetes?,1.0,1.0,1.0,1.0,1.0,False,4045.1442169724032,0.0005290799999999999,,
dense,False,networking-006,How do pods communicate with each other across nodes in Kubernetes?,0.0,0.5,0.0,0.0,0.0,False,1473.383371019736,0.00022659,,
dense,False,networking-007,What are the steps in the request flow when using a Gateway implemented as a reverse proxy?,1.0,1.0,1.0,1.0,1.0,False,9604.388479958288,0.0009056099999999999,,
dense,False,networking-008,What is the purpose of the `appProtocol` field in a Kubernetes Service?,1.0,1.0,1.0,1.0,1.0,False,4543.949560029432,0.0006307699999999999,,
