strategy,corrective,case_id,question,context_recall,context_precision,faithfulness,correctness,answer_relevancy,is_relevant_but_incorrect,latency_ms,estimated_cost_usd,corrective_category,corrective_attempts
dense,False,cluster-001,What is the purpose of namespaces in Kubernetes?,1.0,1.0,1.0,0.9,1.0,False,6277.717264019884,0.00061413,,
dense,False,cluster-002,What is a ServiceAccount and how is it used by pods?,1.0,1.0,1.0,1.0,1.0,False,7954.927874961868,0.0006008599999999999,,
dense,False,cluster-003,What is a CustomResourceDefinition (CRD) and why is it used?,1.0,1.0,1.0,0.9,1.0,False,2255.6386509677395,0.00021152,,
dense,False,cluster-004,What are the main components of the Kubernetes control plane?,1.0,0.8,0.0,0.0,0.0,False,919.7905348846689,0.00010957,,
dense,False,cluster-005,What is a ResourceQuota and how does it limit resource usage per namespace?,1.0,1.0,1.0,1.0,1.0,False,2048.223651945591,0.00021031999999999998,,
dense,False,networking-001,"What is the difference between ClusterIP, NodePort, and LoadBalancer services?",1.0,1.0,1.0,1.0,1.0,False,5218.680458958261,0.00056492,,
dense,False,networking-002,How does Kubernetes DNS work for services?,1.0,1.0,1.0,0.85,1.0,False,2257.9779130173847,0.00030106,,
dense,False,networking-003,What is an Ingress and how does it differ from a Service?,0.0,0.6,1.0,0.9,1.0,False,4115.369556937367,0.00050368,,
dense,False,networking-004,How do Network Policies restrict traffic between pods?,0.0,1.0,1.0,0.9,1.0,False,3565.01969601959,0.00047282999999999993,,
dense,False,networking-005,What is a headless service in Kubernetes?,1.0,1.0,1.0,1.0,1.0,False,4198.4566249884665,0.0005281800000000001,,
dense,False,networking-006,How do pods communicate with each other across nodes in Kubernetes?,0.0,0.5,0.0,0.0,0.0,False,1126.2328109005466,0.00020049,,
dense,False,rbac-001,How do I configure RBAC in Kubernetes?,1.0,1.0,0.0,0.0,0.0,False,1124.9371719313785,0.00013652999999999997,,
dense,False,scheduling-001,How do I set CPU and memory resource limits on a Kubernetes container?,1.0,1.0,1.0,0.7,1.0,False,4605.3386009298265,0.0006274299999999999,,
dense,False,scheduling-002,What is the difference between a liveness probe and a readiness probe?,0.0,1.0,1.0,1.0,1.0,False,3894.0280249807984,0.00043228,,
dense,False,scheduling-003,How do taints and tolerations control pod scheduling in Kubernetes?,0.0,1.0,1.0,0.9,1.0,False,4915.984258055687,0.00048492999999999995,,
dense,False,scheduling-004,What is the Horizontal Pod Autoscaler and how does it work?,1.0,1.0,1.0,0.85,1.0,False,1771.8966789543629,0.00020576,,
dense,False,scheduling-005,What is node affinity and how does it differ from nodeSelector?,1.0,1.0,1.0,0.85,1.0,False,1297.7712230058387,0.00015971,,
dense,False,storage-001,What is the difference between a PersistentVolume and a PersistentVolumeClaim?,1.0,1.0,1.0,0.0,0.0,False,5831.34532510303,0.00013408,,
dense,False,storage-002,What is a StorageClass in Kubernetes?,1.0,1.0,1.0,0.9,1.0,False,2977.0371040795,0.00035416,,
dense,False,storage-003,How do ConfigMaps differ from Secrets in Kubernetes?,1.0,0.75,1.0,0.9,1.0,False,4813.1234149914235,0.0005903,,
dense,False,storage-004,How do you mount a Secret into a Pod as a file?,0.0,0.8,1.0,1.0,1.0,False,3186.2376120407134,0.00033685999999999997,,
dense,False,storage-005,What access modes do PersistentVolumes support?,1.0,0.2,1.0,0.0,0.0,False,1487.9066930152476,6.225999999999999e-05,,
dense,False,pods-001,What is a Kubernetes Pod?,1.0,1.0,1.0,0.9,1.0,False,3516.688176081516,0.00025842,,
dense,False,pods-002,What are the phases of a Pod lifecycle?,1.0,1.0,1.0,1.0,1.0,False,1005.1279549952596,0.00018962999999999999,,
dense,False,workloads-001,How do Deployments manage rolling updates in Kubernetes?,0.0,1.0,1.0,0.9,1.0,False,3898.8019180251285,0.0001868,,
dense,False,workloads-002,When should I use a StatefulSet instead of a Deployment?,1.0,1.0,1.0,1.0,1.0,False,1649.3588680168614,0.00015731,,
dense,False,workloads-003,What is a DaemonSet used for in Kubernetes?,1.0,1.0,1.0,0.9,1.0,False,1510.800271993503,0.00022475000000000001,,
dense,False,workloads-004,How do Kubernetes Jobs differ from Deployments?,1.0,0.6,0.0,0.0,0.0,False,946.5787200024351,0.00012123,,
dense,False,workloads-005,What are init containers and when are they useful?,1.0,1.0,1.0,0.9,1.0,False,3685.5444299289957,0.00022265,,
dense,False,workloads-006,What is a ReplicaSet and how does it relate to a Deployment?,1.0,1.0,1.0,1.0,1.0,False,1847.772382083349,0.00014443,,
dense,True,cluster-001,What is the purpose of namespaces in Kubernetes?,1.0,1.0,1.0,0.9,1.0,False,3494.681203039363,0.00054408,correct,1
dense,True,cluster-002,What is a ServiceAccount and how is it used by pods?,1.0,1.0,1.0,1.0,1.0,False,3325.379964080639,0.00051251,correct,1
