strategy,corrective,case_id,question,context_recall,context_precision,faithfulness,correctness,answer_relevancy,is_relevant_but_incorrect,latency_ms,estimated_cost_usd,corrective_category,corrective_attempts
dense,False,multihop-001,"How does an Ingress route external HTTP traffic to your Pods, and what must exist behind the Ingress for that routing to work?",0.5,0.6,1.0,0.75,1.0,False,10919.672875083052,0.0007364399999999999,,
dense,False,multihop-002,"When you change a Deployment's pod template, how does it use ReplicaSets to carry out the rollout?",1.0,1.0,1.0,0.9,1.0,False,5276.482364046387,0.00064197,,
dense,False,multihop-003,"How does a StatefulSet give each of its replicas stable, persistent storage that survives rescheduling?",0.5,0.8,1.0,0.75,1.0,False,4789.1208040528,0.00048625,,
dense,False,multihop-004,"How does a DaemonSet make sure its Pod runs on every node, including nodes that carry taints?",0.5,0.6,0.0,0.0,0.0,False,6830.450920970179,0.00058709,,
dense,False,multihop-005,"When a PersistentVolumeClaim triggers dynamic provisioning, how is the resulting PersistentVolume's reclaim policy determined?",1.0,1.0,1.0,0.85,1.0,False,4063.8744520256296,0.000637,,
dense,False,multihop-006,"If Pods are exposed through a Service but are also selected by a NetworkPolicy, does reaching them through the Service bypass the policy?",0.5,0.4,1.0,0.0,0.0,False,3000.5390939768404,0.00044677,,
dense,False,multihop-007,"How does a Job know it is complete, in terms of the lifecycle of the Pods it creates?",0.0,0.8,1.0,0.6,1.0,False,3487.953135976568,0.00047695,,
dense,False,multihop-008,"What is the difference between a Secret and a ConfigMap, and how does a Pod consume each of them?",1.0,0.8,1.0,0.9,1.0,False,11353.503423044458,0.00104504,,
hybrid,False,multihop-001,"How does an Ingress route external HTTP traffic to your Pods, and what must exist behind the Ingress for that routing to work?",0.5,0.4,1.0,0.85,1.0,False,3945.139330928214,0.00087939,,
hybrid,False,multihop-002,"When you change a Deployment's pod template, how does it use ReplicaSets to carry out the rollout?",1.0,1.0,1.0,0.9,1.0,False,6302.356333006173,0.0007529699999999999,,
hybrid,False,multihop-003,"How does a StatefulSet give each of its replicas stable, persistent storage that survives rescheduling?",0.5,1.0,1.0,0.9,1.0,False,4152.751649031416,0.0006983499999999999,,
hybrid,False,multihop-004,"How does a DaemonSet make sure its Pod runs on every node, including nodes that carry taints?",0.5,0.6,1.0,0.9,1.0,False,3852.2286110091954,0.0007144399999999999,,
hybrid,False,multihop-005,"When a PersistentVolumeClaim triggers dynamic provisioning, how is the resulting PersistentVolume's reclaim policy determined?",0.5,1.0,0.0,0.0,0.0,False,3662.5757690053433,0.00066145,,
hybrid,False,multihop-006,"If Pods are exposed through a Service but are also selected by a NetworkPolicy, does reaching them through the Service bypass the policy?",0.5,0.0,0.0,0.0,0.0,False,1851.0759730124846,0.00069022,,
hybrid,False,multihop-007,"How does a Job know it is complete, in terms of the lifecycle of the Pods it creates?",0.5,0.8,1.0,0.5,1.0,False,5845.377266057767,0.0005353,,
hybrid,False,multihop-008,"What is the difference between a Secret and a ConfigMap, and how does a Pod consume each of them?",1.0,0.8,1.0,0.9,1.0,False,5276.547781075351,0.00105674,,
decompose,False,multihop-001,"How does an Ingress route external HTTP traffic to your Pods, and what must exist behind the Ingress for that routing to work?",0.5,0.8,1.0,0.75,1.0,False,5838.78516999539,0.0011386999999999999,,
decompose,False,multihop-002,"When you change a Deployment's pod template, how does it use ReplicaSets to carry out the rollout?",1.0,1.0,1.0,0.9,1.0,False,5223.567370092496,0.00122171,,
decompose,False,multihop-003,"How does a StatefulSet give each of its replicas stable, persistent storage that survives rescheduling?",1.0,0.5,1.0,0.9,1.0,False,4811.9789969641715,0.00163398,,
decompose,False,multihop-004,"How does a DaemonSet make sure its Pod runs on every node, including nodes that carry taints?",1.0,0.5,1.0,0.75,1.0,False,5880.184177076444,0.00193573,,
decompose,False,multihop-005,"When a PersistentVolumeClaim triggers dynamic provisioning, how is the resulting PersistentVolume's reclaim policy determined?",0.5,1.0,1.0,0.75,1.0,False,3734.3490730272606,0.00056578,,
decompose,False,multihop-006,"If Pods are exposed through a Service but are also selected by a NetworkPolicy, does reaching them through the Service bypass the policy?",0.5,0.5,1.0,0.0,0.0,False,3979.8581870272756,0.0014308699999999999,,
decompose,False,multihop-007,"How does a Job know it is complete, in terms of the lifecycle of the Pods it creates?",0.5,1.0,1.0,0.9,1.0,False,5544.192298082635,0.00148264,,
decompose,False,multihop-008,"What is the difference between a Secret and a ConfigMap, and how does a Pod consume each of them?",0.5,1.0,1.0,0.9,1.0,False,5896.59058698453,0.0020083,,
